name,link,site_type
Greater Blue Mountains Area,https://whc.unesco.org/en/list/917,natural
Purnululu National Park,https://whc.unesco.org/en/list/1094,natural
Royal Exhibition Building and Carlton Gardens,https://whc.unesco.org/en/list/1131,cultural
Sydney Opera House,https://whc.unesco.org/en/list/166,cultural
Australian Convict Sites,https://whc.unesco.org/en/list/1306,cultural
Ningaloo Coast,https://whc.unesco.org/en/list/1369,natural
Budj Bim Cultural Landscape,https://whc.unesco.org/en/list/1577,cultural
Murujuga Cultural Landscape,https://whc.unesco.org/en/list/1709,cultural
Historic Centre of the City of Salzburg,https://whc.unesco.org/en/list/784,cultural
Palace and Gardens of Schönbrunn,https://whc.unesco.org/en/list/786,cultural
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,https://whc.unesco.org/en/list/806,cultural
Semmering Railway,https://whc.unesco.org/en/list/785,cultural
City of Graz – Historic Centre and Schloss Eggenberg,https://whc.unesco.org/en/list/931,cultural
Wachau Cultural Landscape,https://whc.unesco.org/en/list/970,cultural
Historic Centre of Vienna,https://whc.unesco.org/en/list/1033,cultural_danger
Fertö / Neusiedlersee Cultural Landscape,https://whc.unesco.org/en/list/772,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
Prehistoric Pile Dwellings around the Alps,https://whc.unesco.org/en/list/1363,cultural
Frontiers of the Roman Empire – The Danube Limes (Western Segment),https://whc.unesco.org/en/list/1608,cultural
The Great Spa Towns of Europe,https://whc.unesco.org/en/list/1613,cultural
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,https://whc.unesco.org/en/list/958,cultural
Gobustan Rock Art Cultural Landscape,https://whc.unesco.org/en/list/1076,cultural
Historic Centre of Sheki with the Khan’s Palace,https://whc.unesco.org/en/list/1549,cultural
Hyrcanian Forests,https://whc.unesco.org/en/list/1584,natural
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,https://whc.unesco.org/en/list/1696,cultural
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,https://whc.unesco.org/en/list/1192,cultural
"Pearling, Testimony of an Island Economy",https://whc.unesco.org/en/list/1364,cultural
Dilmun Burial Mounds,https://whc.unesco.org/en/list/1542,cultural
Historic Mosque City of Bagerhat,https://whc.unesco.org/en/list/321,cultural
Ruins of the Buddhist Vihara at Paharpur,https://whc.unesco.org/en/list/322,cultural
The Sundarbans,https://whc.unesco.org/en/list/798,natural
Historic Bridgetown and its Garrison,https://whc.unesco.org/en/list/1376,cultural
Białowieża Forest,https://whc.unesco.org/en/list/33,natural
Mir Castle Complex,https://whc.unesco.org/en/list/625,cultural
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",https://whc.unesco.org/en/list/1196,cultural
Struve Geodetic Arc,https://whc.unesco.org/en/list/1187,cultural
Flemish Béguinages,https://whc.unesco.org/en/list/855,cultural
"La Grand-Place, Brussels",https://whc.unesco.org/en/list/857,cultural
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",https://whc.unesco.org/en/list/856,cultural
Belfries of Belgium and France,https://whc.unesco.org/en/list/943,cultural
Historic Centre of Brugge,https://whc.unesco.org/en/list/996,cultural
Major Town Houses of the Architect Victor Horta (Brussels),https://whc.unesco.org/en/list/1005,cultural
Neolithic Flint Mines at Spiennes (Mons),https://whc.unesco.org/en/list/1006,cultural
Notre-Dame Cathedral in Tournai,https://whc.unesco.org/en/list/1009,cultural
Plantin-Moretus House-Workshops-Museum Complex,https://whc.unesco.org/en/list/1185,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
Stoclet House,https://whc.unesco.org/en/list/1298,cultural
Major Mining Sites of Wallonia,https://whc.unesco.org/en/list/1344,cultural
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",https://whc.unesco.org/en/list/1321,cultural
Colonies of Benevolence,https://whc.unesco.org/en/list/1555,cultural
The Great Spa Towns of Europe,https://whc.unesco.org/en/list/1613,cultural
Funerary and memory sites of the First World War (Western Front),https://whc.unesco.org/en/list/1567,cultural
Belize Barrier Reef Reserve System,https://whc.unesco.org/en/list/764,natural
Royal Palaces of Abomey,https://whc.unesco.org/en/list/323,cultural
W-Arly-Pendjari Complex,https://whc.unesco.org/en/list/749,natural
"Koutammakou, the Land of the Batammariba",https://whc.unesco.org/en/list/1140,cultural
City of Potosí,https://whc.unesco.org/en/list/420,cultural_danger
Jesuit Missions of the Chiquitos,https://whc.unesco.org/en/list/529,cultural
Historic City of Sucre,https://whc.unesco.org/en/list/566,cultural
Fuerte de Samaipata,https://whc.unesco.org/en/list/883,cultural
Noel Kempff Mercado National Park,https://whc.unesco.org/en/list/967,natural
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,https://whc.unesco.org/en/list/567,cultural
"Qhapaq Ñan, Andean Road System",https://whc.unesco.org/en/list/1459,cultural
Old Bridge Area of the Old City of Mostar,https://whc.unesco.org/en/list/946,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
Mehmed Paša Sokolović Bridge in Višegrad,https://whc.unesco.org/en/list/1260,cultural
Stećci Medieval Tombstone Graveyards,https://whc.unesco.org/en/list/1504,cultural
"Vjetrenica Cave, Ravno",https://whc.unesco.org/en/list/1673,natural
Tsodilo,https://whc.unesco.org/en/list/1021,cultural
Okavango Delta,https://whc.unesco.org/en/list/1432,natural
Historic Town of Ouro Preto,https://whc.unesco.org/en/list/124,cultural
Historic Centre of the Town of Olinda,https://whc.unesco.org/en/list/189,cultural
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",https://whc.unesco.org/en/list/275,cultural
Historic Centre of Salvador de Bahia,https://whc.unesco.org/en/list/309,cultural
Sanctuary of Bom Jesus do Congonhas,https://whc.unesco.org/en/list/334,cultural
Iguaçu National Park,https://whc.unesco.org/en/list/355,natural
Brasilia,https://whc.unesco.org/en/list/445,cultural
Serra da Capivara National Park,https://whc.unesco.org/en/list/606,cultural
Historic Centre of São Luís,https://whc.unesco.org/en/list/821,cultural
Atlantic Forest South-East Reserves,https://whc.unesco.org/en/list/893,natural
Discovery Coast Atlantic Forest Reserves,https://whc.unesco.org/en/list/892,natural
Historic Centre of the Town of Diamantina,https://whc.unesco.org/en/list/890,cultural
Central Amazon Conservation Complex,https://whc.unesco.org/en/list/998,natural
Pantanal Conservation Area,https://whc.unesco.org/en/list/999,natural
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,https://whc.unesco.org/en/list/1000,natural
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,https://whc.unesco.org/en/list/1035,natural
Historic Centre of the Town of Goiás,https://whc.unesco.org/en/list/993,cultural
São Francisco Square in the Town of São Cristóvão,https://whc.unesco.org/en/list/1272,cultural
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,https://whc.unesco.org/en/list/1100,cultural
Pampulha Modern Ensemble,https://whc.unesco.org/en/list/1493,cultural
Valongo Wharf Archaeological Site,https://whc.unesco.org/en/list/1548,cultural
Paraty and Ilha Grande – Culture and Biodiversity,https://whc.unesco.org/en/list/1308,mixed
Sítio Roberto Burle Marx,https://whc.unesco.org/en/list/1620,cultural
Lençóis Maranhenses National Park,https://whc.unesco.org/en/list/1611,natural
Peruaçu River Canyon,https://whc.unesco.org/en/list/1747,natural
Boyana Church,https://whc.unesco.org/en/list/42,cultural
Madara Rider,https://whc.unesco.org/en/list/43,cultural
Rock-Hewn Churches of Ivanovo,https://whc.unesco.org/en/list/45,cultural
Thracian Tomb of Kazanlak,https://whc.unesco.org/en/list/44,cultural
Ancient City of Nessebar,https://whc.unesco.org/en/list/217,cultural
Pirin National Park,https://whc.unesco.org/en/list/225,natural
Rila Monastery,https://whc.unesco.org/en/list/216,cultural
Srebarna Nature Reserve,https://whc.unesco.org/en/list/219,natural
Thracian Tomb of Sveshtari,https://whc.unesco.org/en/list/359,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
W-Arly-Pendjari Complex,https://whc.unesco.org/en/list/749,natural
Ruins of Loropéni,https://whc.unesco.org/en/list/1225,cultural
Ancient Ferrous Metallurgy Sites of Burkina Faso,https://whc.unesco.org/en/list/1602,cultural
Royal Court of Tiébélé,https://whc.unesco.org/en/list/1713,cultural
"Cidade Velha, Historic Centre of Ribeira Grande",https://whc.unesco.org/en/list/1310,cultural
Angkor,https://whc.unesco.org/en/list/668,cultural
Temple of Preah Vihear,https://whc.unesco.org/en/list/1224,cultural
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",https://whc.unesco.org/en/list/1532,cultural
Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,https://whc.unesco.org/en/list/1667,cultural
Cambodian Memorial Sites: From centres of repression to places of peace and reflection,https://whc.unesco.org/en/list/1748,cultural
Dja Faunal Reserve,https://whc.unesco.org/en/list/407,natural
Sangha Trinational,https://whc.unesco.org/en/list/1380,natural
Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,https://whc.unesco.org/en/list/1745,cultural
L’Anse aux Meadows National Historic Site,https://whc.unesco.org/en/list/4,cultural
Nahanni National Park,https://whc.unesco.org/en/list/24,natural
Dinosaur Provincial Park,https://whc.unesco.org/en/list/71,natural
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,https://whc.unesco.org/en/list/72,natural
Head-Smashed-In Buffalo Jump,https://whc.unesco.org/en/list/158,cultural
SGang Gwaay,https://whc.unesco.org/en/list/157,cultural
Wood Buffalo National Park,https://whc.unesco.org/en/list/256,natural
Canadian Rocky Mountain Parks,https://whc.unesco.org/en/list/304,natural
Historic District of Old Québec,https://whc.unesco.org/en/list/300,cultural
Gros Morne National Park,https://whc.unesco.org/en/list/419,natural
Old Town Lunenburg,https://whc.unesco.org/en/list/741,cultural
Waterton Glacier International Peace Park,https://whc.unesco.org/en/list/354,natural
Miguasha National Park,https://whc.unesco.org/en/list/686,natural
Rideau Canal,https://whc.unesco.org/en/list/1221,cultural
Joggins Fossil Cliffs,https://whc.unesco.org/en/list/1285,natural
Landscape of Grand Pré,https://whc.unesco.org/en/list/1404,cultural
Red Bay Basque Whaling Station,https://whc.unesco.org/en/list/1412,cultural
Mistaken Point,https://whc.unesco.org/en/list/1497,natural
Pimachiowin Aki,https://whc.unesco.org/en/list/1415,mixed
Writing-on-Stone / Áísínai’pi,https://whc.unesco.org/en/list/1597,cultural
Anticosti,https://whc.unesco.org/en/list/1686,natural
Tr’ondëk-Klondike,https://whc.unesco.org/en/list/1564,cultural
Manovo-Gounda St Floris National Park,https://whc.unesco.org/en/list/475,natural_danger
Sangha Trinational,https://whc.unesco.org/en/list/1380,natural
Lakes of Ounianga,https://whc.unesco.org/en/list/1400,natural
Ennedi Massif: Natural and Cultural Landscape,https://whc.unesco.org/en/list/1475,mixed
Rapa Nui National Park,https://whc.unesco.org/en/list/715,cultural
Churches of Chiloé,https://whc.unesco.org/en/list/971,cultural
Historic Quarter of the Seaport City of Valparaíso,https://whc.unesco.org/en/list/959,cultural
Humberstone and Santa Laura Saltpeter Works,https://whc.unesco.org/en/list/1178,cultural
Sewell Mining Town,https://whc.unesco.org/en/list/1214,cultural
"Qhapaq Ñan, Andean Road System",https://whc.unesco.org/en/list/1459,cultural
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,https://whc.unesco.org/en/list/1634,cultural
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,https://whc.unesco.org/en/list/439,cultural
Mausoleum of the First Qin Emperor,https://whc.unesco.org/en/list/441,cultural
Mogao Caves,https://whc.unesco.org/en/list/440,cultural
Mount Taishan,https://whc.unesco.org/en/list/437,mixed
Peking Man Site at Zhoukoudian,https://whc.unesco.org/en/list/449,cultural
The Great Wall,https://whc.unesco.org/en/list/438,cultural
Mount Huangshan,https://whc.unesco.org/en/list/547,mixed
Huanglong Scenic and Historic Interest Area,https://whc.unesco.org/en/list/638,natural
Jiuzhaigou Valley Scenic and Historic Interest Area,https://whc.unesco.org/en/list/637,natural
Wulingyuan Scenic and Historic Interest Area,https://whc.unesco.org/en/list/640,natural
Ancient Building Complex in the Wudang Mountains,https://whc.unesco.org/en/list/705,cultural
"Historic Ensemble of the Potala Palace, Lhasa",https://whc.unesco.org/en/list/707,cultural
"Mountain Resort and its Outlying Temples, Chengde",https://whc.unesco.org/en/list/703,cultural
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,https://whc.unesco.org/en/list/704,cultural
Lushan National Park,https://whc.unesco.org/en/list/778,cultural
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",https://whc.unesco.org/en/list/779,mixed
Ancient City of Ping Yao,https://whc.unesco.org/en/list/812,cultural
Classical Gardens of Suzhou,https://whc.unesco.org/en/list/813,cultural
Old Town of Lijiang,https://whc.unesco.org/en/list/811,cultural
"Summer Palace, an Imperial Garden in Beijing",https://whc.unesco.org/en/list/880,cultural
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,https://whc.unesco.org/en/list/881,cultural
Dazu Rock Carvings,https://whc.unesco.org/en/list/912,cultural
Mount Wuyi,https://whc.unesco.org/en/list/911,mixed
Ancient Villages in Southern Anhui – Xidi and Hongcun,https://whc.unesco.org/en/list/1002,cultural
Imperial Tombs of the Ming and Qing Dynasties,https://whc.unesco.org/en/list/1004,cultural
Longmen Grottoes,https://whc.unesco.org/en/list/1003,cultural
Mount Qingcheng and the Dujiangyan Irrigation System,https://whc.unesco.org/en/list/1001,cultural
Yungang Grottoes,https://whc.unesco.org/en/list/1039,cultural
Three Parallel Rivers of Yunnan Protected Areas,https://whc.unesco.org/en/list/1083,natural
Capital Cities and Tombs of the Ancient Koguryo Kingdom,https://whc.unesco.org/en/list/1135,cultural
Historic Centre of Macao,https://whc.unesco.org/en/list/1110,cultural
"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains",https://whc.unesco.org/en/list/1213,natural
Yin Xu,https://whc.unesco.org/en/list/1114,cultural
Kaiping Diaolou and Villages,https://whc.unesco.org/en/list/1112,cultural
South China Karst,https://whc.unesco.org/en/list/1248,natural
FujianTulou,https://whc.unesco.org/en/list/1113,cultural
Mount Sanqingshan National Park,https://whc.unesco.org/en/list/1292,natural
Mount Wutai,https://whc.unesco.org/en/list/1279,cultural
China Danxia,https://whc.unesco.org/en/list/1335,natural
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,https://whc.unesco.org/en/list/1305,cultural
West Lake Cultural Landscape of Hangzhou,https://whc.unesco.org/en/list/1334,cultural
Chengjiang Fossil Site,https://whc.unesco.org/en/list/1388,natural
Site of Xanadu,https://whc.unesco.org/en/list/1389,cultural
Cultural Landscape of Honghe Hani Rice Terraces,https://whc.unesco.org/en/list/1111,cultural
Xinjiang Tianshan,https://whc.unesco.org/en/list/1414,natural
Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,https://whc.unesco.org/en/list/1442,cultural
The Grand Canal,https://whc.unesco.org/en/list/1443,cultural
Tusi Sites,https://whc.unesco.org/en/list/1474,cultural
Hubei Shennongjia,https://whc.unesco.org/en/list/1509,natural
Zuojiang Huashan Rock Art Cultural Landscape,https://whc.unesco.org/en/list/1508,cultural
"Kulangsu, a Historic International Settlement",https://whc.unesco.org/en/list/1541,cultural
Qinghai Hoh Xil,https://whc.unesco.org/en/list/1540,natural
Fanjingshan,https://whc.unesco.org/en/list/1559,natural
Archaeological Ruins of Liangzhu City,https://whc.unesco.org/en/list/1592,cultural
Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China,https://whc.unesco.org/en/list/1606,natural
Quanzhou: Emporium of the World in Song-Yuan China,https://whc.unesco.org/en/list/1561,cultural
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,https://whc.unesco.org/en/list/1665,cultural
Badain Jaran Desert - Towers of Sand and Lakes,https://whc.unesco.org/en/list/1638,natural
Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,https://whc.unesco.org/en/list/1714,cultural
Xixia Imperial Tombs,https://whc.unesco.org/en/list/1736,cultural
"Port, Fortresses and Group of Monuments, Cartagena",https://whc.unesco.org/en/list/285,cultural
Los Katíos National Park,https://whc.unesco.org/en/list/711,natural
Historic Centre of Santa Cruz de Mompox,https://whc.unesco.org/en/list/742,cultural
National Archeological Park of Tierradentro,https://whc.unesco.org/en/list/743,cultural
San Agustín Archaeological Park,https://whc.unesco.org/en/list/744,cultural
Malpelo Fauna and Flora Sanctuary,https://whc.unesco.org/en/list/1216,natural
Coffee Cultural Landscape of Colombia,https://whc.unesco.org/en/list/1121,cultural
"Qhapaq Ñan, Andean Road System",https://whc.unesco.org/en/list/1459,cultural
Chiribiquete National Park – “The Maloca of the Jaguar”,https://whc.unesco.org/en/list/1174,mixed
Sangha Trinational,https://whc.unesco.org/en/list/1380,natural
Forest Massif of Odzala-Kokoua,https://whc.unesco.org/en/list/692,natural
Talamanca Range-La Amistad Reserves / La Amistad National Park,https://whc.unesco.org/en/list/205,natural
Cocos Island National Park,https://whc.unesco.org/en/list/820,natural
Area de Conservación Guanacaste,https://whc.unesco.org/en/list/928,natural
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,https://whc.unesco.org/en/list/1453,cultural
Mount Nimba Strict Nature Reserve,https://whc.unesco.org/en/list/155,natural_danger
Taï National Park,https://whc.unesco.org/en/list/195,natural
Comoé National Park,https://whc.unesco.org/en/list/227,natural
Historic Town of Grand-Bassam,https://whc.unesco.org/en/list/1322,cultural
Sudanese style mosques in northern Côte d’Ivoire,https://whc.unesco.org/en/list/1648,cultural
Historical Complex of Split with the Palace of Diocletian,https://whc.unesco.org/en/list/97,cultural
Old City of Dubrovnik,https://whc.unesco.org/en/list/95,cultural
Plitvice Lakes National Park,https://whc.unesco.org/en/list/98,natural
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,https://whc.unesco.org/en/list/809,cultural
Historic City of Trogir,https://whc.unesco.org/en/list/810,cultural
The Cathedral of St James in Šibenik,https://whc.unesco.org/en/list/963,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
Stari Grad Plain,https://whc.unesco.org/en/list/1240,cultural
Stećci Medieval Tombstone Graveyards,https://whc.unesco.org/en/list/1504,cultural
Venetian Works of Defence between the 16th and 17th Centuries:Stato da Terra– WesternStato da Mar,https://whc.unesco.org/en/list/1533,cultural
Old Havana and its Fortification System,https://whc.unesco.org/en/list/204,cultural
Trinidad and the Valley de los Ingenios,https://whc.unesco.org/en/list/460,cultural
"San Pedro de la Roca Castle, Santiago de Cuba",https://whc.unesco.org/en/list/841,cultural
Desembarco del Granma National Park,https://whc.unesco.org/en/list/889,natural
Viñales Valley,https://whc.unesco.org/en/list/840,cultural
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,https://whc.unesco.org/en/list/1008,cultural
Alejandro de Humboldt National Park,https://whc.unesco.org/en/list/839,natural
Urban Historic Centre of Cienfuegos,https://whc.unesco.org/en/list/1202,cultural
Historic Centre of Camagüey,https://whc.unesco.org/en/list/1270,cultural
Paphos,https://whc.unesco.org/en/list/79,cultural
Painted Churches in the Troodos Region,https://whc.unesco.org/en/list/351,cultural
Choirokoitia,https://whc.unesco.org/en/list/848,cultural
Historic Centre of Český Krumlov,https://whc.unesco.org/en/list/617,cultural
Historic Centre of Prague,https://whc.unesco.org/en/list/616,cultural
Historic Centre of Telč,https://whc.unesco.org/en/list/621,cultural
Pilgrimage Church of St John of Nepomuk at Zelená Hora,https://whc.unesco.org/en/list/690,cultural
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,https://whc.unesco.org/en/list/732,cultural
Lednice-Valtice Cultural Landscape,https://whc.unesco.org/en/list/763,cultural
Gardens and Castle at Kroměříž,https://whc.unesco.org/en/list/860,cultural
Holašovice Historic Village,https://whc.unesco.org/en/list/861,cultural
Litomyšl Castle,https://whc.unesco.org/en/list/901,cultural
Holy Trinity Column in Olomouc,https://whc.unesco.org/en/list/859,cultural
Tugendhat Villa in Brno,https://whc.unesco.org/en/list/1052,cultural
Jewish Quarter and St Procopius' Basilica in Třebíč,https://whc.unesco.org/en/list/1078,cultural
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,https://whc.unesco.org/en/list/1133,natural
Erzgebirge/Krušnohoří Mining Region,https://whc.unesco.org/en/list/1478,cultural
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,https://whc.unesco.org/en/list/1589,cultural
The Great Spa Towns of Europe,https://whc.unesco.org/en/list/1613,cultural
Žatec and the Landscape of Saaz Hops,https://whc.unesco.org/en/list/1558,cultural
Complex of Koguryo Tombs,https://whc.unesco.org/en/list/1091,cultural
Historic Monuments and Sites in Kaesong,https://whc.unesco.org/en/list/1278,cultural
Mount Kumgang – Diamond Mountain from the Sea,https://whc.unesco.org/en/list/1642,mixed
Virunga National Park,https://whc.unesco.org/en/list/63,natural_danger
Kahuzi-Biega National Park,https://whc.unesco.org/en/list/137,natural_danger
Garamba National Park,https://whc.unesco.org/en/list/136,natural_danger
Salonga National Park,https://whc.unesco.org/en/list/280,natural
Okapi Wildlife Reserve,https://whc.unesco.org/en/list/718,natural_danger
"Jelling Mounds, Runic Stones and Church",https://whc.unesco.org/en/list/697,cultural
Roskilde Cathedral,https://whc.unesco.org/en/list/695,cultural
Kronborg Castle,https://whc.unesco.org/en/list/696,cultural
Ilulissat Icefjord,https://whc.unesco.org/en/list/1149,natural
Wadden Sea,https://whc.unesco.org/en/list/1314,natural
Stevns Klint,https://whc.unesco.org/en/list/1416,natural
Moravian Church Settlements,https://whc.unesco.org/en/list/1468,cultural
The par force hunting landscape in North Zealand,https://whc.unesco.org/en/list/1469,cultural
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,https://whc.unesco.org/en/list/1536,cultural
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,https://whc.unesco.org/en/list/1557,cultural
Viking-Age Ring Fortresses,https://whc.unesco.org/en/list/1660,cultural
Møns Klint,https://whc.unesco.org/en/list/1728,natural
Morne Trois Pitons National Park,https://whc.unesco.org/en/list/814,natural
Colonial City of Santo Domingo,https://whc.unesco.org/en/list/526,cultural
City of Quito,https://whc.unesco.org/en/list/2,cultural
Galápagos Islands,https://whc.unesco.org/en/list/1,natural
Sangay National Park,https://whc.unesco.org/en/list/260,natural
Historic Centre of Santa Ana de los Ríos de Cuenca,https://whc.unesco.org/en/list/863,cultural
"Qhapaq Ñan, Andean Road System",https://whc.unesco.org/en/list/1459,cultural
Abu Mena,https://whc.unesco.org/en/list/90,cultural
Ancient Thebes with its Necropolis,https://whc.unesco.org/en/list/87,cultural
Historic Cairo,https://whc.unesco.org/en/list/89,cultural
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,https://whc.unesco.org/en/list/86,cultural
Nubian Monuments from Abu Simbel to Philae,https://whc.unesco.org/en/list/88,cultural
Saint Catherine Area,https://whc.unesco.org/en/list/954,cultural
Wadi Al-Hitan (Whale Valley),https://whc.unesco.org/en/list/1186,natural
Joya de Cerén Archaeological Site,https://whc.unesco.org/en/list/675,cultural
Asmara: A Modernist African City,https://whc.unesco.org/en/list/1550,cultural
Historic Centre (Old Town) of Tallinn,https://whc.unesco.org/en/list/822,cultural
Struve Geodetic Arc,https://whc.unesco.org/en/list/1187,cultural
"Rock-Hewn Churches, Lalibela",https://whc.unesco.org/en/list/18,cultural
Simien National Park,https://whc.unesco.org/en/list/9,natural
"Fasil Ghebbi, Gondar Region",https://whc.unesco.org/en/list/19,cultural
Aksum,https://whc.unesco.org/en/list/15,cultural
Lower Valley of the Awash,https://whc.unesco.org/en/list/10,cultural
Lower Valley of the Omo,https://whc.unesco.org/en/list/17,cultural
Tiya,https://whc.unesco.org/en/list/12,cultural
"Harar Jugol, the Fortified Historic Town",https://whc.unesco.org/en/list/1189,cultural
Konso Cultural Landscape,https://whc.unesco.org/en/list/1333,cultural
